"2017-12-07 17:42:16 [main] INFO  c.s.z.f.FishOnIndiaApplication - Starting FishOnIndiaApplication v0.0.1-SNAPSHOT on lap0001937.yatraonline.local with PID 16636 (/Users/tarni.sharma/Documents/Sylphrena/Workspace/KALADIN/fishonindia/target/fishonindia-0.0.1-SNAPSHOT.jar started by tarni.sharma in /Users/tarni.sharma/Documents/Sylphrena/Workspace/KALADIN/fishonindia)
""2017-12-07 17:42:16 [main] DEBUG c.s.z.f.FishOnIndiaApplication - Running with Spring Boot v1.5.8.RELEASE, Spring v4.3.12.RELEASE
""2017-12-07 17:42:16 [main] INFO  c.s.z.f.FishOnIndiaApplication - No active profile set, falling back to default profiles: default
""2017-12-07 17:42:17 [main] INFO  o.s.b.c.e.AnnotationConfigEmbeddedWebApplicationContext - Refreshing org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@5ef04b5: startup date [Thu Dec 07 17:42:17 IST 2017]; root of context hierarchy
""2017-12-07 17:42:20 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
""2017-12-07 17:42:21 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
""2017-12-07 17:42:21 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.saving.zion.fishonindia.dao.FiltersRepository.
""2017-12-07 17:42:21 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.saving.zion.fishonindia.dao.ListingRepository.
""2017-12-07 17:42:21 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.saving.zion.fishonindia.dao.DestinationsRepository.
""2017-12-07 17:42:21 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.saving.zion.fishonindia.dao.ListingDetailsRepository.
""2017-12-07 17:42:21 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.saving.zion.fishonindia.dao.ContentRepository.
""2017-12-07 17:42:21 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.saving.zion.fishonindia.dao.RequestSubmissionRepository.
""2017-12-07 17:42:24 [main] INFO  o.s.b.c.e.t.TomcatEmbeddedServletContainer - Tomcat initialized with port(s): 8080 (http)
""2017-12-07 17:42:24 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
""2017-12-07 17:42:24 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet Engine: Apache Tomcat/8.5.23
""2017-12-07 17:42:24 [localhost-startStop-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
""2017-12-07 17:42:25 [localhost-startStop-1] INFO  o.s.b.w.s.ServletRegistrationBean - Mapping servlet: 'dispatcherServlet' to [/]
""2017-12-07 17:42:25 [localhost-startStop-1] INFO  o.s.b.w.s.FilterRegistrationBean - Mapping filter: 'characterEncodingFilter' to: [/*]
""2017-12-07 17:42:25 [localhost-startStop-1] INFO  o.s.b.w.s.FilterRegistrationBean - Mapping filter: 'hiddenHttpMethodFilter' to: [/*]
""2017-12-07 17:42:25 [localhost-startStop-1] INFO  o.s.b.w.s.FilterRegistrationBean - Mapping filter: 'httpPutFormContentFilter' to: [/*]
""2017-12-07 17:42:25 [localhost-startStop-1] INFO  o.s.b.w.s.FilterRegistrationBean - Mapping filter: 'requestContextFilter' to: [/*]
""2017-12-07 17:42:25 [main] INFO  org.mongodb.driver.cluster - Cluster created with settings {hosts=[localhost:27017], mode=SINGLE, requiredClusterType=UNKNOWN, serverSelectionTimeout='30000 ms', maxWaitQueueSize=500}
""2017-12-07 17:42:26 [cluster-ClusterId{value='5a29302921fd5040fca5fc09', description='null'}-localhost:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:1, serverValue:7}] to localhost:27017
""2017-12-07 17:42:26 [cluster-ClusterId{value='5a29302921fd5040fca5fc09', description='null'}-localhost:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=localhost:27017, type=STANDALONE, state=CONNECTED, ok=true, version=ServerVersion{versionList=[3, 0, 4]}, minWireVersion=0, maxWireVersion=3, maxDocumentSize=16777216, roundTripTimeNanos=885890}
""2017-12-07 17:42:27 [main] INFO  o.s.u.f.SpringTemplateLoader - SpringTemplateLoader for FreeMarker: using resource loader [org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@5ef04b5: startup date [Thu Dec 07 17:42:17 IST 2017]; root of context hierarchy] and template loader path [classpath:/templates/]
""2017-12-07 17:42:28 [main] INFO  o.s.u.f.SpringTemplateLoader - SpringTemplateLoader for FreeMarker: using resource loader [org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@5ef04b5: startup date [Thu Dec 07 17:42:17 IST 2017]; root of context hierarchy] and template loader path [/templates/]
""2017-12-07 17:42:30 [main] INFO  o.s.j.e.a.AnnotationMBeanExporter - Registering beans for JMX exposure on startup
""2017-12-07 17:42:30 [main] INFO  o.s.c.s.DefaultLifecycleProcessor - Starting beans in phase 2147483647
""2017-12-07 17:42:30 [main] INFO  s.d.s.w.p.DocumentationPluginsBootstrapper - Context refreshed
""2017-12-07 17:42:30 [main] INFO  s.d.s.w.p.DocumentationPluginsBootstrapper - Found 1 custom documentation plugin(s)
""2017-12-07 17:42:31 [main] INFO  s.d.s.w.s.ApiListingReferenceScanner - Scanning for api listing references
""2017-12-07 17:42:31 [main] INFO  o.s.b.c.e.t.TomcatEmbeddedServletContainer - Tomcat started on port(s): 8080 (http)
""2017-12-07 17:42:31 [main] INFO  c.s.z.f.FishOnIndiaApplication - Started FishOnIndiaApplication in 15.896 seconds (JVM running for 17.102)
"
